11111 0          11323 80         11535 2000       12151 a          12363 adatte     12615 agire      
53666 secoli     54322 sereni     54534 sgrani     55146 smanie     55362 solo       55614 spenga     
54111 secolo     54323 sereno     54535 sgrano     55151 smessa     55363 somma      55615 spenge     
54112 sedai      54324 seri       54536 sgrava     55152 smesse     55364 somme      55616 spengi     
54113 sedano     54325 seria      54541 sgravi     55153 smessi     55365 sommi      55621 spengo     
54114 sedare     54326 serie      54542 sgravo     55154 smesso     55366 sommo      55622 spensi     
54115 sedate     54331 serio      54543 sgrida     55155 smetta     55411 sonda      55623 spenta     
54116 sedati     54332 serra      54544 sgridi     55156 smette     55412 sondai     55624 spente     
54121 sedato     54333 serrai     54545 sgrido     55161 smetti     55413 sonde      55625 spenti     
54122 sedava     54334 serre      54546 sh         55162 smetto     55414 sondi      55626 spento     



55631 spera      56243 spugna     56455 stento     61111 stupii     61323 svisi      61535 tassi      
55632 sperai     56244 spugne     56456 steppa     61112 sturai     61324 sviso      61536 tasso      
55633 sperda     56245 spuma      56461 steppe     61113 sturo      61325 svista     61541 tasta      
55634 sperde     56246 spume      56462 sterco     61114 su         61326 sviste     61542 tastai     
55635 sperdi     56251 spunta     56463 sterno     61115 sua        61331 svita      61543 tasti      
55636 sperdo     56252 spunti     56464 sterza     61116 subito     61332 svitai     61544 tasto      
55641 speri      56253 spunto     56465 sterzi     61121 succhi     61333 sviti      61545 tatto      
55642 spero      56254 sputa      56466 sterzo     61122 succo      61334 svito      61546 tatua      
55643 spesa      56255 sputi      56511 stesa      61123 suda       61335 svolga     61551 tatuai     
55644 spesai     56256 sputo      56512 stese      61124 sudai      61336 svolge     61552 tatui      
55645 spese      56261 sq         56513 stesi      61125 sudano     61341 svolgi     61553 tatuo      
55646 spesi      56262 squali     56514 steso      61126 sudare     61342 svolgo     61554 tavole     
55651 speso      56263 squalo     56515 stessa     61131 sudata     61343 svolta     61555 tavoli     
55652 spesso     56264 squama     56516 stesse     61132 sudate     61344 svolte     61556 tazza      
55653 spetta     56265 squame     56521 stessi     61133 sudati     61345 svolti     61561 tazze      
55654 spetto     56266 sr         56522 stesso     61134 sudava     61346 svolto     61562 tb         
55655 spezia     56311 ss         56523 stette     61135 sudavi     61351 svuota     61563 tc         
55656 spezie     56312 sss        56524 stia       61136 sudavo     61352 svuoti     61564 td         
55661 spezza     56313 ssss       56525 stiano     61141 sudi       61353 svuoto     61565 te         
55662 spezzi     56314 st         56526 stile      61142 sudice     61354 sw         61566 teatri     
55663 spezzo     56315 sta        56531 stili      61143 sudici     61355 sx         61611 teatro     
55664 spia       56316 stacca     56532 stima      61144 sudino     61356 sy         61612 tedi       
55665 spiana     56321 stacco     56533 stimai     61145 sudo       61361 sz         61613 tedia      
55666 spiani     56322 stadi      56534 stime      61146 sudore     61362 t          61614 tediai     
56111 spiano     56323 stadio     56535 stimi      61151 sudori     61363 tacchi     61615 tedino     
56112 spicca     56324 staffa     56536 stimo      61152 sue        61364 tacci      61616 tedio      
56113 spicco     56325 staffe     56541 stinco     61153 sugli      61365 taccia     61621 tegame     
56114 spie       56326 stagni     56542 stira      61154 sui        61366 taccio     61622 tegola     
56115 spiedi     56331 stagno     56543 stirai     61155 suini      61411 tacco      61623 tegole     
56116 spiedo     56332 stai       56544 stiri      61156 suino      61412 tace       61624 teiera     
56121 spiega     56333 stalla     56545 stiro      61161 sulla      61413 tacere     61625 teiere     
56122 spiego     56334 stalle     56546 stirpe     61162 sulle      61414 taceva     61626 tela       
56123 spiga      56335 stammi     56551 stirpi     61163 sullo      61415 tacevo     61631 telai      
56124 spighe     56336 stampa     56552 stiva      61164 sunto      61416 taci       61632 tele       
56125 spilla     56341 stampe     56553 stivai     61165 suo        61421 tacita     61633 teli       
56126 spilli     56342 stampi     56554 stive      61166 suoi       61422 tacite     61634 telo       
56131 spina      56343 stampo     56555 stivo      61211 suola      61423 taciti     61635 tema       
56132 spine      56344 stana      56556 stizza     61212 suole      61424 tacito     61636 temi       
56133 spinge     56345 stanai     56561 sto        61213 suona      61425 tacque     61641 tempi      
56134 spingi     56346 stanca     56562 stoffa     61214 suonai     61426 tacqui     61642 tempia     
56135 spingo     56351 stanco     56563 stoffe     61215 suoni      61431 tafano     61643 tempie     
56136 spinse     56352 stando     56564 stola      61216 suono      61432 tagli      61644 tempo      
56141 spinta     56353 stani      56565 stole      61221 suora      61433 taglia     61645 tempre     
56142 spinte     56354 stanno     56566 stona      61222 suore      61434 taglie     61646 tempri     
56143 spinti     56355 stano      56611 stonai     61223 supera     61435 talco      61651 tempro     
56144 spinto     56356 stanza     56612 stoni      61224 superi     61436 tale       61652 tenaci     
56145 spira      56361 stanze     56613 stono      61225 supero     61441 tali       61653 tenda      
56146 spirai     56362 stanzi     56614 stoppa     61226 supine     61442 talpa      61654 tende      
56151 spiri      56363 stappa     56615 stoppe     61231 supini     61443 talpe      61655 tenera     
56152 spiro      56364 stappi     56616 storia     61232 supino     61444 talune     61656 tenere     
56153 spogli     56365 stappo     56621 storie     61233 susina     61445 tana       61661 teneri     
56154 spola      56366 starai     56622 stormi     61234 susine     61446 tane       61662 tenero     
56155 spole      56411 starci     56623 stormo     61235 sutura     61451 tanfo      61663 tenete     
56156 sponda     56412 starei     56624 storte     61236 suture     61452 tanga      61664 teneva     
56161 sponde     56413 staro      56625 storti     61241 sv         61453 tanta      61665 tenevi     
56162 sporco     56414 starti     56626 strada     61242 svaga      61454 tante      61666 tenevo     
56163 sporga     56415 stata      56631 strade     61243 svagai     61455 tanti      62111 tenga      
56164 sporge     56416 state      56632 strage     61244 svaghi     61456 tanto      62112 tengo      
56165 sporgi     56421 stati      56633 stragi     61245 svago      61461 tappa      62113 tenne      
56166 sporgo     56422 stato      56634 strana     61246 svanii     61462 tappe      62114 tenni      
56211 sporse     56423 statua     56635 strane     61251 svegli     61463 tappi      62115 tenore     
56212 sporta     56424 statue     56636 strani     61252 svelta     61464 tappo      62116 tenori     
56213 sporte     56425 stavi      56641 strano     61253 svelte     61465 tara       62121 tenta      
56214 sporti     56426 stavo      56642 strati     61254 svelti     61466 tarata     62122 tentai     
56215 sporto     56431 stazza     56643 strato     61255 svelto     61511 tarate     62123 tenti      
56216 sposa      56432 stazze     56644 strida     61256 svenii     61512 tarati     62124 tento      
56221 spose      56433 stazzi     56645 stride     61261 sverni     61513 tarda      62125 tenue      
56222 sposi      56434 stazzo     56646 stridi     61262 sverno     61514 tardai     62126 tenui      
56223 sposo      56435 stecca     56651 strido     61263 svia       61515 tardi      62131 tenuta     
56224 sposta     56436 steli      56652 strofa     61264 sviai      61516 tardo      62132 tenute     
56225 sposti     56441 stella     56653 strofe     61265 sviamo     61521 tare       62133 tenuti     
56226 sposto     56442 stelle     56654 stu        61266 sviare     61522 targa      62134 tenuto     
56231 spregi     56443 stelo      56655 stucca     61311 sviata     61523 targhe     62135 teoria     
56232 sprema     56444 stemmi     56656 stucco     61312 sviati     61524 tarpa      62136 teorie     
56233 spreme     56445 stenda     56661 studi      61313 sviato     61525 tarpo      62141 tepida     
56234 spremi     56446 stende     56662 studia     61314 sviava     61526 tasca      62142 tepide     
56235 spremo     56451 stendi     56663 studio     61315 sviavi     61531 tasche     62143 tepidi     
56236 sprona     56452 stendo     56664 stufi      61316 svio       61532 tassa      62144 tepido     
56241 sproni     56453 stenta     56665 stufo      61321 svisa      61533 tassai     62145 tepore     
56242 sprono     56454 stenti     56666 stuola     61322 svisai     61534 tasse      62146 tepori     



62151 terga      62363 tirata     62615 torre      63231 triplo     63443 tutta      63655 unisci     
62152 terge      62364 tirati     62616 torta      63232 trippa     63444 tutte      63656 unisco     
62153 tergi      62365 tirato     62621 torte      63233 trippe     63445 tutti      63661 unissi     
62154 tergo      62366 tirava     62622 torti      63234 triste     63446 tutto      63662 uniste     
62155 terme      62411 tiravi     62623 torto      63235 tristi     63451 tuv        63663 unisti     
62156 termi      62412 tiravo     62624 tosa       63236 trita      63452 tv         63664 unita      
62161 terna      62413 tirchi     62625 tosai      63241 trite      63453 tw         63665 unite      
62162 terne      62414 tiri       62626 tosano     63242 triti      63454 tx         63666 uniti      
62163 terra      62415 tirino     62631 tosare     63243 trito      63455 ty         64111 unito      
62164 terrai     62416 tiro       62632 tosata     63244 trofei     63456 tz         64112 univa      
62165 terre      62421 tisana     62633 tosate     63245 trofeo     63461 u          64113 univo      
62166 tersa      62422 tisane     62634 tosati     63246 tromba     63462 ub         64114 uno        
62211 terse      62423 titoli     62635 tosato     63251 trombe     63463 uc         64115 unta       
62212 tersi      62424 titolo     62636 tosava     63252 tronca     63464 ud         64116 unte       
62213 terso      62425 tizi       62641 tosavi     63253 tronco     63465 udendo     64121 unti       
62214 terzo      62426 tizia      62642 tosavo     63254 troni      63466 udii       64122 unto       
62215 tesa       62431 tizie      62643 tosi       63255 trono      63511 udire      64123 uo         
62216 teschi     62432 tizio      62644 tosino     63256 troppa     63512 udirla     64124 uomini     
62221 tese       62433 tj         62645 toso       63261 troppe     63513 udita      64125 uomo       
62222 tesi       62434 tk         62646 tosse      63262 troppi     63514 udite      64126 up         
62223 teso       62435 tl         62651 tossi      63263 troppo     63515 uditi      64131 uq         
62224 tesori     62436 tm         62652 tossii     63264 trota      63516 udivo      64132 ur         
62225 tesoro     62441 tn         62653 tosta      63265 trote      63521 ue         64133 urbana     
62226 tessa      62442 to         62654 tostai     63266 trotta     63522 uf         64134 urbane     
62231 tessei     62443 tocca      62655 toste      63311 trotti     63523 uffici     64135 urbani     
62232 tessi      62444 toccai     62656 tosti      63312 trotto     63524 ufo        64136 urbano     
62233 tesso      62445 tocchi     62661 totale     63313 trova      63525 ug         64141 urla       
62234 testa      62446 tocco      62662 totali     63314 trovai     63526 uguale     64142 urlai      
62235 teste      62451 toga       62663 totani     63315 trovi      63531 uguali     64143 urlano     
62236 testi      62452 toghe      62664 totano     63316 trovo      63532 uh         64144 urlare     
62241 testo      62453 togli      62665 tozza      63321 trucca     63533 ui         64145 urlata     
62242 tetano     62454 toglie     62666 tozze      63322 trucco     63534 uj         64146 urlate     
62243 tetra      62455 tolga      63111 tozzo      63323 truffe     63535 uk         64151 urlati     
62244 tetre      62456 tolse      63112 tp         63324 truffi     63536 ul         64152 urlato     
62245 tetri      62461 tolsi      63113 tq         63325 truffo     63541 ultima     64153 urlava     
62246 tetro      62462 tolta      63114 tr         63326 truppa     63542 ultime     64154 urlavi     
62251 tetti      62463 tolte      63115 tra        63331 truppe     63543 ultimi     64155 urlavo     
62252 tetto      62464 tolti      63116 tracce     63332 ts         63544 ultimo     64156 urli       
62253 tf         62465 tolto      63121 tracci     63333 tt         63545 ulula      64161 urlino     
62254 tg         62466 tomaie     63122 tradii     63334 ttt        63546 ululi      64162 urlo       
62255 th         62511 tomba      63123 trae       63335 tttt       63551 ululo      64163 urna       
62256 ti         62512 tonaca     63124 traevo     63336 tu         63552 um         64164 urne       
62261 tibia      62513 tonaci     63125 traina     63341 tua        63553 umane      64165 urta       
62262 tibie      62514 tonaco     63126 traini     63342 tuba       63554 umani      64166 urtano     
62263 tiene      62515 tonchi     63131 traino     63343 tubano     63555 umano      64211 urtare     
62264 tieni      62516 tonda      63132 tralci     63344 tubare     63556 umida      64212 urtata     
62265 tienti     62521 tonde      63133 trama      63345 tubata     63561 umide      64213 urtate     
62266 tifo       62522 tondi      63134 tramai     63346 tubate     63562 umidi      64214 urtati     
62311 tifone     62523 tonfi      63135 trame      63351 tubato     63563 umido      64215 urtato     
62312 tifoni     62524 tonfo      63136 trami      63352 tubavo     63564 umile      64216 urtava     
62313 tigli      62525 toni       63141 tramo      63353 tubera     63565 umili      64221 urtavi     
62314 tiglio     62526 tonni      63142 tranci     63354 tuberi     63566 umilia     64222 urtavo     
62315 tigna      62531 tonno      63143 tranne     63355 tubero     63611 umilio     64223 urti       
62316 tigne      62532 tonta      63144 trarla     63356 tubi       63612 umilta     64224 urto       
62321 tigri      62533 tonte      63145 trarre     63361 tubino     63613 umori      64225 us         
62322 timbra     62534 tonti      63146 trasse     63362 tubo       63614 un         64226 usa        
62323 timbri     62535 tonto      63151 tratta     63363 tue        63615 una        64231 usai       
62324 timbro     62536 topazi     63152 tratte     63364 tuffa      63616 uncini     64232 usando     
62325 timida     62541 topo       63153 tratti     63365 tuffi      63621 uncino     64233 usano      
62326 timide     62542 toppa      63154 tratto     63366 tuffo      63622 unendo     64234 usanza     
62331 timidi     62543 toppe      63155 trauma     63411 tuguri     63623 unge       64235 usanze     
62332 timido     62544 torace     63156 traumi     63412 tulle      63624 ungere     64236 usare      
62333 timone     62545 toraci     63161 trave      63413 tuo        63625 unghia     64241 usasse     
62334 timore     62546 torba      63162 travi      63414 tuona      63626 unghie     64242 usassi     
62335 timori     62551 torbe      63163 travia     63415 tuoni      63631 ungi       64243 usaste     
62336 tini       62552 torce      63164 travio     63416 tuono      63632 ungo       64244 usasti     
62341 tino       62553 torchi     63165 tre        63421 turai      63633 ungono     64245 usata      
62342 tinta      62554 torcia     63166 trebbi     63422 turba      63634 uniamo     64246 usate      
62343 tinte      62555 tori       63211 trecca     63423 turbai     63635 uniate     64251 usati      
62344 tinti      62556 torna      63212 trema      63424 turbo      63636 unica      64252 usato      
62345 tinto      62561 tornai     63213 tremai     63425 turcha     63641 uniche     64253 usava      
62346 tipa       62562 torne      63214 tremi      63426 turchi     63642 unici      64254 usavi      
62351 tipe       62563 tornea     63215 tremo      63431 turni      63643 unico      64255 usavo      
62352 tipi       62564 tornei     63216 treni      63432 turno      63644 unii       64256 usci       
62353 tipica     62565 torneo     63221 treno      63433 tutela     63645 unione     64261 uscii      
62354 tipici     62566 torni      63222 trenta     63434 tutele     63646 unioni     64262 uscio      
62355 tipo       62611 tornii     63223 trilla     63435 tuteli     63651 unirai     64263 uscire     
62356 tira       62612 tornio     63224 trilli     63436 tutelo     63652 unire      64264 uscita     
62361 tirai      62613 torno      63225 trillo     63441 tutore     63653 unirei     64265 uscite     
62362 tirare     62614 toro       63226 tripla     63442 tutori     63654 unisce     64266 usciti     



64311 uscito     64523 valuta     65135 velata     65351 vibri      65563 viva       66215 votive     
64312 usciva     64524 valute     65136 velate     65352 vicari     65564 vivace     66216 votivi     
64313 uscivo     64525 valuto     65141 velati     65353 vicina     65565 vivaci     66221 votivo     
64314 userai     64526 vampi      65142 velava     65354 vicine     65566 vivano     66222 voto       
64315 userei     64531 vana       65143 velavi     65355 vicini     65611 vive       66223 vp         
64316 usi        64532 vane       65144 velavo     65356 vicino     65612 vivera     66224 vq         
64321 usiamo     64533 vanga      65145 vele       65361 vicoli     65613 vivere     66225 vr         
64322 usiate     64534 vanghi     65146 veli       65362 vicolo     65614 vivete     66226 vs         
64323 uso        64535 vango      65151 velina     65363 vide       65615 viveva     66231 vt         
64324 usuale     64536 vani       65152 veline     65364 video      65616 vivevi     66232 vu         
64325 usuali     64541 vanita     65153 velino     65365 videro     65621 vivevo     66233 vuoi       
64326 usura      64542 vanno      65154 velo       65366 vidima     65622 vivi       66234 vuole      
64331 usurai     64543 vano       65155 veloce     65411 vidimi     65623 vivo       66235 vuota      
64332 usure      64544 vanta      65156 veloci     65412 vidimo     65624 vivono     66236 vuotai     
64333 usurpi     64545 vantai     65161 vena       65413 vie        65625 vizi       66241 vuoti      
64334 usurpo     64546 vanti      65162 venale     65414 viene      65626 vizia      66242 vuoto      
64335 ut         64551 vanto      65163 venali     65415 vieni      65631 vizio      66243 vv         
64336 utente     64552 vapore     65164 venda      65416 vieta      65632 vj         66244 vvv        
64341 utenti     64553 vapori     65165 vende      65421 vietae     65633 vk         66245 vvvv       
64342 utenza     64554 vara       65166 vendi      65422 vietai     65634 vl         66246 vw         
64343 utile      64555 varare     65211 venera     65423 vieto      65635 vm         66251 vwx        
64344 utili      64556 varate     65212 venere     65424 vigile     65636 vn         66252 vx         
64345 utopia     64561 varati     65213 veneri     65425 vigili     65641 vo         66253 vy         
64346 utopie     64562 varato     65214 venero     65426 vigilo     65642 vocale     66254 vz         
64351 uu         64563 varava     65215 venga      65431 vigne      65643 vocali     66255 w          
64352 uuu        64564 varavi     65216 venire     65432 vigore     65644 voce       66256 wb         
64353 uuuu       64565 varavo     65221 venite     65433 vigori     65645 voci       66261 wc         
64354 uv         64566 varchi     65222 veniva     65434 vile       65646 voga       66262 wd         
64355 uve        64611 varco      65223 venivi     65435 villa      65651 vogai      66263 we         
64356 uvw        64612 vari       65224 venivo     65436 ville      65652 vogano     66264 wf         
64361 uw         64613 variai     65225 venne      65441 vimini     65653 vogata     66265 wg         
64362 ux         64614 varie      65226 venni      65442 vinaio     65654 vogate     66266 wh         
64363 uy         64615 varino     65231 venti      65443 vinci      65655 vogati     66311 wi         
64364 uz         64616 vario      65232 vento      65444 vinco      65656 vogato     66312 wj         
64365 v          64621 vasca      65233 ventre     65445 vini       65661 vogava     66313 wk         
64366 vacche     64622 vasche     65234 ventri     65446 vino       65662 voghi      66314 wl         
64411 vada       64623 vaso       65235 venuta     65451 vinta      65663 voglia     66315 wm         
64412 vadano     64624 vassoi     65236 venute     65452 vinte      65664 voglie     66316 wn         
64413 vado       64625 vasta      65241 venuti     65453 vinto      65665 voglio     66321 wo         
64414 vaga       64626 vaste      65242 venuto     65454 viola      65666 vogo       66322 wp         
64415 vagano     64631 vasti      65243 vera       65455 violai     66111 voi        66323 wq         
64416 vagare     64632 vasto      65244 verbi      65456 viole      66112 volai      66324 wr         
64421 vagata     64633 vavola     65245 verbo      65461 violi      66113 volano     66325 ws         
64422 vagate     64634 vb         65246 verde      65462 violo      66114 volare     66326 wt         
64423 vagati     64635 vc         65251 verdi      65463 vipera     66115 volata     66331 wu         
64424 vagato     64636 vd         65252 vere       65464 vipere     66116 volate     66332 wv         
64425 vagava     64641 ve         65253 verghe     65465 vira       66121 volati     66333 ww         
64426 vagavi     64642 vecchi     65254 veri       65466 virano     66122 volava     66334 www        
64431 vagavo     64643 veda       65255 verita     65511 virata     66123 volavi     66335 wwww       
64432 vaghe      64644 vedano     65256 verme      65512 virate     66124 volavo     66336 wx         
64433 vaghi      64645 vede       65261 vermi      65513 virati     66125 volere     66341 wxy        
64434 vagire     64646 vedere     65262 verrei     65514 virato     66126 volete     66342 wy         
64435 vagita     64651 vedete     65263 versa      65515 virava     66131 voleva     66343 wz         
64436 vagite     64652 vedeva     65264 versai     65516 viravi     66132 volevi     66344 x          
64441 vagiti     64653 vedevi     65265 versi      65521 viravo     66133 volge      66345 xb         
64442 vagito     64654 vedevo     65266 verso      65522 virile     66134 volgo      66346 xc         
64443 vagiva     64655 vedi       65311 vespa      65523 virili     66135 voli       66351 xd         
64444 vagivo     64656 vedili     65312 vespe      65524 visi       66136 volino     66352 xe         
64445 vagli      64661 vedo       65313 vespri     65525 visita     66141 volli      66353 xf         
64446 vaglia     64662 vedono     65314 vespro     65526 visite     66142 volo       66354 xg         
64451 vaglio     64663 vedova     65315 vessa      65531 visiti     66143 volpe      66355 xh         
64452 vagone     64664 vedove     65316 vessai     65532 visito     66144 volpi      66356 xi         
64453 vagoni     64665 vedovo     65321 vessi      65533 viso       66145 volse      66361 xj         
64454 vaioli     64666 vedra      65322 vesso      65534 visone     66146 volta      66362 xk         
64455 vaiolo     65111 vedrai     65323 veste      65535 visoni     66151 voltai     66363 xl         
64456 vale       65112 veduta     65324 vesti      65536 vispa      66152 volte      66364 xm         
64461 valere     65113 vedute     65325 vesto      65541 vispe      66153 volti      66365 xn         
64462 valeva     65114 veduti     65326 veti       65542 vispi      66154 volto      66366 xo         
64463 valga      65115 veduto     65331 vetri      65543 visse      66155 volumi     66411 xp         
64464 valgo      65116 vegeta     65332 vetta      65544 vissi      66156 voluta     66412 xq         
64465 valica     65121 vegete     65333 vette      65545 vista      66161 volute     66413 xr         
64466 valida     65122 vegeti     65334 vf         65546 vistai     66162 voluti     66414 xs         
64511 valide     65123 vegeto     65335 vg         65551 viste      66163 voluto     66415 xt         
64512 validi     65124 vegli      65336 vh         65552 visti      66164 vorace     66416 xu         
64513 valido     65125 veglia     65341 vi         65553 visto      66165 voraci     66421 xv         
64514 valle      65126 veglio     65342 viaggi     65554 vita       66166 vorrai     66422 xw         
64515 valli      65131 vela       65343 viale      65555 vitale     66211 vorrei     66423 xx         
64516 vallo      65132 velai      65344 viali      65556 vitali     66212 vostro     66424 xxx        
64521 valore     65133 velano     65345 vibra      65561 vite       66213 voti       66425 xxxx       
64522 valori     65134 velare     65346 vibrai     65562 vitti      66214 votiva     66426 xy         



66431 xyz        66643 zs         
66432 xz         66644 zt         
66433 y          66645 zu         
66434 yb         66646 zucca      
66435 yc         66651 zucche     
66436 yd         66652 zuffa      
66441 ye         66653 zuffe      
66442 yf         66654 zuppa      
66443 yg         66655 zuppe      
66444 yh         66656 zv         
66445 yi         66661 zw         
66446 yj         66662 zx         
66451 yk         66663 zy         
66452 yl         66664 zz         
66453 ym         66665 zzz        
66454 yn         66666 zzzz       
66455 yo         
66456 yp         
66461 yq         
66462 yr         
66463 ys         
66464 yt         
66465 yu         
66466 yv         
66511 yw         
66512 yx         
66513 yy         
66514 yyy        
66515 yyyy       
66516 yz         
66521 z          
66522 zaino      
66523 zampa      
66524 zampe      
66525 zanna      
66526 zappai     
66531 zappi      
66532 zappo      
66533 zb         
66534 zc         
66535 zd         
66536 ze         
66541 zecca      
66542 zelo       
66543 zeppa      
66544 zeppe      
66545 zeppi      
66546 zeppo      
66551 zeri       
66552 zf         
66553 zg         
66554 zh         
66555 zi         
66556 zia        
66561 zie        
66562 zii        
66563 zio        
66564 zitta      
66565 zitti      
66566 zitto      
66611 zj         
66612 zk         
66613 zl         
66614 zm         
66615 zn         
66616 zo         
66621 zolfo      
66622 zolla      
66623 zona       
66624 zone       
66625 zoppa      
66626 zoppe      
66631 zoppi      
66632 zoppo      
66633 zotica     
66634 zotici     
66635 zotico     
66636 zp         
66641 zq         
66642 zr

